courier_id,name,phone,city,vehicle_type,join_date,is_active,rating
1,Mireille BARKA,00237 6 22212170 86 60 91,Bafoussam,Voiture,2023-07-12,1,3.6
2,Gisèle MAROUF,+237687125015,Douala,Moto,2022-02-21,1,3.4
3,Constant NGUEFACK,00237 6 26026360 22 82 90,Douala,Moto,2023-05-22,0,3.1
4,Josephine DJOUMESSI,237-660932893,Douala,Vélo,2022-05-31,1,2.6
5,Guy ESSOH,237-669441885,Yaoundé,Tricycle,2023-02-16,1,4.7
6,Isabelle ABATE,6 43 46 95 74,Bafoussam,Moto,2023-08-15,1,4.0
7,Lydie ISSA,624394282,Douala,Tricycle,2022-08-24,0,2.5
8,Rémi MBOCK,00237 6 45958171 38 62 85,Douala,Voiture,2022-07-05,1,4.8
9,Sophie KAMGA,6 98 66 40 32,Douala,Moto,2023-07-29,1,2.9
10,Oumar OBAMA,6 93 69 01 85,Yaoundé,Vélo,2023-03-27,1,4.4
11,Marcel ABATE,+237655960222,Bafoussam,Moto,2022-11-18,1,4.9
12,Sylvain AMOUGOU,+237650217079,Douala,Moto,2023-02-26,1,4.6
13,Hawa BARRY,686630443,Douala,Moto,2023-06-25,1,2.9
14,Gisèle KENFACK,664177250,Douala,Moto,2023-03-18,1,3.9
15,Bernard NDONGO,+237655096754,Bafoussam,Moto,2022-12-14,0,4.4
16,Boubacar DJOUMESSI,+237645503243,Douala,Voiture,2021-08-09,1,4.5
17,Ornella ESSOH,237-686684189,Douala,Moto,2022-12-04,0,2.5
18,Solange ABATE,+237665270447,Yaoundé,Voiture,2023-02-17,1,3.7
19,Hawa NGOUFO,237-621538585,Douala,Vélo,2023-05-28,1,4.0
20,Boubacar TCHOUPO,+237697612023,Bafoussam,Tricycle,2021-12-13,0,4.1
21,Rabi TSIMI,+237615355273,Yaoundé,Moto,2022-05-01,1,2.9
22,Raoul CAMARA,621307564,Bafoussam,Moto,2022-04-12,1,3.2
23,Kevin TCHOUPO,00237 6 63158840 27 65 95,Douala,Moto,2022-03-29,1,4.7
24,Laure NGONO,652345317,Bafoussam,Vélo,2021-06-12,1,4.4
25,Suzanne KEITA,680753423,Douala,Voiture,2022-02-18,1,4.9
26,Wilfried ENGOLO,(+237) 678383232,Yaoundé,Moto,2021-05-14,0,2.6
27,Armelle BALENG,690902233,Douala,Vélo,2021-06-13,1,3.3
28,Alain FOUDA,668066858,Douala,Tricycle,2022-10-01,1,4.1
29,Ghislain CAMARA,(+237) 629069742,Douala,Moto,2022-03-14,0,2.7
30,Hawa IBRAHIM,00237 6 30056678 42 41 81,Douala,Moto,2021-08-24,1,2.7
31,Constant BOUKAR,(+237) 665647305,Douala,Tricycle,2022-08-14,1,3.6
32,Mireille KOUYATE,237-632316956,Yaoundé,Voiture,2022-12-25,0,2.8
33,Boris BELLO,(+237) 633486896,Douala,Tricycle,2023-04-10,1,2.9
34,Astride EKANI,624901836,Douala,Vélo,2022-10-14,1,2.7
35,Céline BELLO,6 53 28 30 28,Yaoundé,Voiture,2021-08-10,1,5.0
36,Hamidou ETOUNDI,00237 6 92773087 97 11 25,Douala,Moto,2023-04-17,1,3.8
37,Bernard FOUDA,611069409,Bafoussam,Moto,2022-03-03,1,4.8
38,Aline KEITA,237-641046609,Yaoundé,Moto,2023-07-22,1,3.2
39,Sophie BELLO,697816723,Yaoundé,Voiture,2022-02-06,1,3.9
40,Yvette ETOUNDI,682928151,Douala,Moto,2022-05-13,0,3.1
41,Modibo BARKA,+237622988945,Yaoundé,Moto,2021-06-04,1,2.5
42,Hervé BELLO,237-664531365,Yaoundé,Vélo,2022-10-08,1,4.5
43,Joël NJIEMOUN,(+237) 664217362,Yaoundé,Moto,2021-05-12,1,4.0
44,Viviane TSIMI,237-678339028,Douala,Moto,2023-07-05,1,3.3
45,Hamidou TCHOUPO,(+237) 684628296,Douala,Moto,2021-11-17,1,3.8
46,Fatima ATEBA,6 44 67 26 81,Douala,Voiture,2021-06-26,1,4.4
47,Raoul GARBA,237-627784386,Douala,Moto,2021-11-16,1,4.6
