customer_id,name,phone,registration_date,city,quartier,loyalty_score
CUST10997,Nadège toure,(+237) 653091709,2022-04-24,Douala,Logbessou,28.9
CUST10385,Franck OBAMA,6 38 27 02 33,2024-10-20,douala,Nyalla,48.0
CUST11582,Solange LOBE,00237 6 33581357 10 61 59,2024-07-03,douala ,Akwa,9.9
CUST10330,Saidou kouam,+237688339168,2024-08-19,douala,Bonapriso,7.6
CUST11463,Nadine ntongo,660015814,2022-04-14,Bafoussam ,Djeleng,63.6
CUST10809,Patricia MINLO,612314351,2023-11-25,Yaoundé ,Briqueterie,49.1
CUST17157,régine djoumessi,+237626901217,2023-05-14,DOUALA,Bonapriso,67.4
CUST17378,epee Thierry,237-624972279,2022-02-13,Douala ,Akwa,21.9
CUST11597,ABOUNA Aïcha,+237620450542,2022-10-13,Bafoussam,Bamougoum,82.7
CUST10088,Cyrille ABOUNA,695899313,2024-05-24,Yaounde,Ngoa-Ekele,46.9
CUST10852,NKUISSI Modibo,+237650569669,2023-10-16,Yaoundé ,Omnisport,17.2
CUST10752,Margot coulibaly,+237675793759,2024-09-24,YAOUNDE,Briqueterie,6.7
CUST11944,EKOTTO Mireille,+237683284724,2024-09-26,Douala ,Ndokotti,17.0
CUST11495,CONSTANT NJOH,237-647388792,2022-07-11,DOUALA,Nkolmesseng,76.0
CUST10510,Larissa NDOUMBE,699508850,2021-04-29,YAOUNDE,Jouvence,8.6
CUST17341,TEGUIA DENISE,+237696637649,2022-11-21,Douala ,Akwa,16.0
CUST11699,Estelle ELA,+237653154591,2022-05-01,YAOUNDE,Briqueterie,5.0
CUST10918,NDOUMBE Modibo,+237633328859,2022-10-11,Yaounde,Etoudi,35.6
CUST10322,Nadège GARBA,643046464,2021-09-17,Douala,Logbessou,38.7
CUST11808,NADÈGE FOMEKONG,+237642100652,2022-12-28,douala,PK12,47.6
CUST10509,Eric MAROUF,00237 6 51511484 74 14 26,2023-12-15,douala,Nyalla,52.7
CUST10676,Aurelie DJOUMESSI,671968116,2022-01-02,douala ,Beedi,60.3
CUST10132,Joël MAROUF,237-618526544,2023-10-31,douala,Bepanda,24.4
CUST10275,CARINE BIKELE,6 22 51 75 17,2024-09-04,DOUALA,Akwa,37.3
CUST10976,Fatima FOUDA,+237688802305,2021-04-05,Yaoundé,Omnisport,31.3
CUST10311,Boubacar engolo,(+237) 617634247,2024-09-12,Douala ,Mboppi,249.5
CUST10154,Aurelie NGWA,633978249,2023-01-29,douala,Bonapriso,20.3
CUST11928,Raoul NDIKUM,+237661926331,2024-02-19,Douala,Kotto,43.6
CUST17217,CISSE JEAN,(+237) 689609131,2021-10-31,YAOUNDE,Mvog-Mbi,9.7
CUST11548,EKOTTO Sophie,+237675184410,2021-06-16,Yaounde,Bastos,31.6
CUST17326,WILFRIED NDONGO,237-625372341,2024-11-20,yaounde,Santa Barbara,27.9
CUST10998,Alain NKOUAM,6 99 94 37 97,2024-10-07,yaounde,Briqueterie,59.8
CUST11861,Astride CISSE,237-655001909,2022-09-18,Yaounde,Ngoa-Ekele,10.4
CUST11203,Ibrahim NTONGO,6 61 63 26 53,2023-04-07,douala,Bonabéri,
CUST11043,Sandrine DIBOTI,+237631257157,2023-06-12,Yaounde,Mokolo,61.7
CUST10204,Joëlle CISSE,670597444,2021-08-08,Douala ,Deido,
CUST17278,Lydie dawa,237-678103759,2021-03-12,Yaoundé ,Melen,28.3
CUST10879,Therese FOTSO,676001106,2022-04-23,YAOUNDE,Jouvence,74.2
CUST10420,Rodrigue FEUDJIO,(+237) 627105448,2022-01-04,BAFOUSSAM,Centre Ville,40.3
CUST12081,EPEE Marie,237-618715975,2023-07-06,Douala ,Deido,15.5
CUST10176,NTONGO Thierry,642138745,2023-09-09,YAOUNDE,Obili,23.4
CUST12013,Aline NDONGO,237-657319709,2021-04-02,Douala ,Bonabéri,57.9
CUST11433,YVETTE ENGOLO,237-667740376,2021-05-07,YAOUNDE,Nlongkak,43.7
CUST10765,Raoul BELLO,682232344,2023-01-04,douala ,Beedi,38.8
CUST11166,Chancelle NDONGO,00237 6 81291936 11 33 39,2022-02-23,douala ,Bonapriso,54.5
CUST11700,Patrick ebouele,+237691202508,2024-10-16,bafoussam,Famla,20.1
CUST10035,KOLLO Didier,638898923,2022-03-12,YAOUNDE,Briqueterie,46.2
CUST10405,Patrick DIBOTI,669302158,2022-10-31,douala,Beedi,20.3
CUST10004,Joël DOUMBIA,00237 6 42868828 13 20 15,2024-10-04,douala ,Bonabéri,
CUST12018,NGANSO Abdou,+237617698469,2022-06-01,Yaounde,Mimboman,9.6
CUST10820,Therese BALDE,6 84 28 58 82,2024-01-04,Yaoundé ,Mvog-Mbi,74.4
CUST11607,Gustave TRAORE,00237 6 64362516 37 18 27,2021-03-17,Yaoundé ,Madagascar,37.4
CUST10040,BIKELE Gisèle,+237622981052,2022-07-17,Douala ,Cité des Palmiers,32.0
CUST10544,EKOTTO Patricia,621381064,2023-05-28,Bafoussam,Kamkop,24.0
CUST11256,Cyrille FEZE,237-632084778,2024-05-28,Douala,Akwa,68.8
CUST10293,Gustave diboti,237-698834863,2023-09-17,Bafoussam ,Baham-Route,42.7
CUST11288,Hawa ABOUNA,+237654024257,2022-03-29,Douala,Bonabéri,2.9
CUST11501,DENISE MBOA,692352411,2022-08-04,Yaoundé ,Bastos,21.3
CUST10549,GHISLAIN MAROUF,(+237) 693115778,2022-03-08,YAOUNDE,Tsinga,56.5
CUST11799,Ibrahim NGANSO,00237 6 65144509 34 87 96,2021-04-03,douala,Bali,49.0
CUST10432,Fatoumata TCHOUPO,664543049,2022-02-03,Bafoussam,Tougang,37.6
CUST11021,DIALLO Pauline,237-665465150,2023-03-25,douala,Nkolmesseng,25.0
CUST11065,Sophie fofana,00237 6 83989546 88 18 90,2024-11-19,Yaounde,Ngoa-Ekele,60.9
